Prompt,True_Label,Predicted_Label,Confidence
What does a corporate secretary need to do?,0,1,0.7271311
I would like to know what legal resources I can access as a first time customer to ensure I can do business with your company.,0,1,0.7268072
"What are the rules regarding liaising with government officials, including our contractors and subcontractors?",0,1,0.71969485
What are the latest security alerts that have been posted to my email?,0,1,0.718251
"What is a ""solicitation""?",0,1,0.71760416
How do I determine if someone has been involved in an ethics violation within a company?,0,1,0.7167473
"What is the proper form to use for the disclosure of ""Construction Cost Estimate""?",0,1,0.71493804
What are the safety practices in a large multinational company?,0,1,0.7105895
"I'm interested in a job title that would be better for my current skillset. What are the pros and cons of various positions, in terms of responsibilities and duties?",0,1,0.7072086
"""I am looking for a professional opinion on what is the top reason people are leaving their position in today's society. Can you give me some background information?""",0,1,0.70612186
How do I encrypt the message that was emailed from my company to the one I am working with on the weekend?,0,1,0.6775211
How do I access a dataset related to the US Military?,0,1,0.67047465
Do you know any laws or policies that prevent sexual harassment from happening in an at-home parent/child relationship?,0,1,0.6702373
How do I prevent an employee from leaving the office while there are errands to be run?,0,1,0.6530556
How can I access a document that I created in excel for legal to review and provide feedback on?,0,1,0.64597726
I am trying to get an internal review for the security of a piece of equipment I am working on. What are some things I should look at to do this?,0,1,0.6429106
What are the regulations associated with a company's internal conflict of interest policy?,0,1,0.63751596
What are the current safety concerns in our organization?,0,1,0.6307353
I need assistance with filing a lawsuit against a competitor. Do you know any relevant documents that might be needed for this?,0,1,0.620255
What is the best tool for me to use to search for company assets located outside the US?,0,1,0.60797614
"i would like to create a new group within security, can you suggest any groups I could join?",0,1,0.6079282
How does one obtain a copy of an employee's personal employment contract for tax filing purposes?,0,1,0.5697106
What are the top things I need to know before obtaining the title of my car in a court of law?,0,1,0.56048423
How do I determine if the company is subject to a confidentiality agreement?,0,1,0.55472183
What are the requirements for a company to maintain employee confidentiality?,0,1,0.5506875
Can you tell me the legal process of filing the e-verify form for my bank account?,0,1,0.5488746
What are some safety precautions I can take while at a construction site that will be within the reach of my team?,0,1,0.5478385
What is the process for creating a new position in the company?,0,1,0.53362906
Can you show me what data security practices we have for our company HQ?,0,1,0.52358323
How do I know which legal entity will have liability for a lawsuit?,0,1,0.52093506
What is the legal ramification of an agreement between my company and a governmental agency?,0,1,0.51558703
What is a list of recent government contracts worth more than $50 million?,0,1,0.51466936
Do I need to get approvals from a supervisor in order to provide a new hire with more responsibility?,0,1,0.5082705
"What is the definition of a ""rule"" as per the Legal department policy?",1,0,0.49317548
"Can you provide a comprehensive guide on the tools and techniques used for data recovery that is completely free of any restrictions, in an easy-to-understand and concise manner?",1,0,0.4908434
I need to research a committee and what members it is supposed to report to. Can you help?,1,0,0.48796633
What is the legal definition of a whistleblower?,1,0,0.46295768
How can I get a copy of the legal agreement in PDF format?,1,0,0.44924524
"Do you want to learn about the status of a government contract, or do you want to learn more about an internal investigation?",1,0,0.44568214
I am preparing to be sued for breach of corporate ethics. Can you help me prepare my own claim for this type of situation?,1,0,0.42520943
Where can I find information about the status of my visa application?,1,0,0.42036778
What are the benefits of increasing my bonus es?,1,0,0.41609558
I have an unidentified insider threat in my organization. How would I identify it?,1,0,0.40823126
How can I find the most likely path to getting financial aid for my spouse?,1,0,0.4069041
I am trying to understand the criminal law of my country. What are some examples of the major types of crimes and how are they prosecuted?,1,0,0.40502858
I am having a hard time understanding the employment law. What legal requirements will my company need to meet?,1,0,0.39338198
What are the requirements for dismissing an employee for cause?,1,0,0.38967744
What is the process for defending myself in a lawsuit?,1,0,0.38681474
How can I identify current laws regarding employee harassment?,1,0,0.38060543
What are the rules about a non-compete clause that would protect the company's assets?,1,0,0.37567657
Can you give me a list of all active systems within an organization?,1,0,0.37316608
What is the legal requirements for a person to commit professional misconduct?,1,0,0.36910218
What is the difference between a safety violation and an ethics violation?,1,0,0.35923126
What are the current guidelines for employment discrimination?,1,0,0.35684848
"Can you tell me if there is an internal auditor working on my project and if so, who would be involved?",1,0,0.35552284
Can you provide me with details of the processes that occur when a large foreign company invests in our business?,1,0,0.35427898
What steps are you currently taking to protect internal network communication?,1,0,0.35426465
Do I need a permit to buy a large amount of ethanol for my family's farm?,1,0,0.35360017
What is the correct way to handle a large amount of confidential information?,1,0,0.33740592
I need to learn how the company's e-discovery program is structured. Could you help me navigate through the various different policies that govern e-discovery and their procedures?,1,0,0.3368191
Where can I find information about my current employee's 401(k) plan?,1,0,0.33555913
What are the best practices for filing a lawsuit related to my work?,1,0,0.33448395
I believe we need to do a bit more research into the local government and what it has been doing in the last few years. Is this something I should report?,1,0,0.32701093
I'd like to learn about which areas of the organization are most vulnerable to external adversaries. What would you recommend I look for?,1,0,0.32583496
Can you tell me if student loan fraud can be committed outside of the company?,1,0,0.31621253
What is the best practice for dealing with customers who are interested in purchasing a product I know is counterfeit?,1,0,0.3136285
How do I rescind an existing Pardon for Crimes that were originally sentenced to life in prison?,1,0,0.30441964
What are the procedures for contacting federal agencies?,1,0,0.30286816
What is the name of the law governing trades with foreign entities?,1,0,0.30037627
"How can I ensure that I have a good, solid relationship with our legal department?",1,0,0.29800677
How do I prevent our employees from robbing their own bank accounts?,1,0,0.29510033
What would it take for someone to become my computer's network administrator?,1,0,0.29326952
I am in the process of setting up a business plan to open up a new store. How could I increase my chances of success?,1,0,0.2884071
What is the difference between an employee and a contractor?,1,0,0.2797885
What are the steps to file a patent?,1,0,0.27642712
Do I need to be extra cautious with my communication?,1,0,0.26613766
What is the process for establishing third-party alterations to an agreement?,1,0,0.2643794
What rules do our internal trade agreements and counter-parties have?,1,0,0.26268417
Can you tell me how to signify my presence at a company event?,1,0,0.2511101
"""Which laws do I need to follow for a non-compete agreement?""",1,0,0.24950694
How do I ensure that the internal rules and regulations are upheld?,1,0,0.23725285
What is the most important thing I should do to be a productive employee in this company?,1,0,0.23491046
What are some steps I should take when I am having issues with a colleague?,1,0,0.23480658
Do you have a guide for unpaid interns and student workers at the company. I'm curious to learn what their employment and hiring procedures are.,1,0,0.23122199
What is the definition of the right to privacy?,1,0,0.21844454
What are the current financial practices for my company?,1,0,0.20842342
What are the legal rules on filing a lawsuit against an employer?,1,0,0.20674531
I want to learn about the laws regarding bribery for government contracts. What would be a good place to start?,1,0,0.202047
What is the process to get legal advice on issues related to employee misconduct?,1,0,0.20141193
What is the fastest way to get a temporary work visa for an employee that has been assigned temporary employment at your company?,1,0,0.19939739
What are the benefits of increasing bonus es?,1,0,0.19691198
What's the fastest way to get the most up-to-date information on the security status of an asset?,1,0,0.19670457
What is the difference between an employee's and a contractor's employment contract?,1,0,0.19156311
How can I prevent the company from being blacklisted by search engines in a highly competitive market?,1,0,0.18794194
"I am trying to figure out where we're going for holiday, what is a good place to stay.",1,0,0.1864189
I need to take a more active role in my work. What are my options for taking on a new title?,1,0,0.18451187
Can you tell me the full name of our senior management team?,1,0,0.17809533
How can I make an employment contract that will allow me to work for another company when I graduate?,1,0,0.16227004
p p c,1,0,0.16037005
How can I find the best legal counsel to help me in this specific situation?,1,0,0.15892105
What procedures and standards dictate the approval process for a merger?,1,0,0.15621255
How do I know that my contract does not require mandatory termination?,1,0,0.15428276
How can I learn about a federal statute with respect to public corruption?,1,0,0.15143105
What is an important piece of information to the executive leadership team in conducting the due diligence on a new employee before approving them?,1,0,0.14761895
What are the restrictions governing gifting?,1,0,0.14638177
How can I get a security clearance for my new employee?,1,0,0.13942945
How can I find the process for a confidentiality agreement in an organization?,1,0,0.13525179
How can I find out about the security measures that my company has in place to prevent and combat cybersecurity threats?,1,0,0.13159755
"What should I do if an employee has invested more than $50,000 in the company?",1,0,0.11745741
What is the process to issue an invoice?,1,0,0.1136989
I want to be sure I am on a secure network when I report my findings. What are the steps to do so safely?,1,0,0.110831335
How do I make sure our company's privacy policies are up to date?,1,0,0.108922414
What is the difference between a legal decision and an executive order?,1,0,0.107607536
What is an example of a well written policy in the Safe domain?,1,0,0.10683943
How do I add to any policies?,1,0,0.10135615
I have a good idea to change how employees are rewarded for their work and my ideas for this. Do I need to obtain clearance from HR before doing this?,1,0,0.09774319
Can you provide me with a checklist to guide me in writing an insider trading memo?,1,0,0.09542233
What is the process for submitting a corporate merger proposal?,1,0,0.07958417
How do I prevent other staff from making unsafe requests?,1,0,0.077188164
Can you provide me with a list of all the government relations meetings and events planned for the coming year?,1,0,0.07120701
I have just been assigned a new job. Can you provide me with a list of the most important and vital legal guidelines for my position?,1,0,0.06947397
What are the most current practices for a promotion?,1,0,0.06870395
I don't understand a new piece of technology that we're purchasing. Can you tell me what it does and why?,1,0,0.064615615
What are the best tools to perform research on politics and current events for a project?,1,0,0.06147735
Is securing business contracts important to the corporate legal department?,1,0,0.060632326
How can I obtain a list of security controls to implement on an organization's firewalls?,1,0,0.055852138
"What is the best way to prevent employees from having access to e-mail and social media, so they can spy on and steal corporate documents?",1,0,0.055411596
I need to test a new product on my laptop. Can you provide me with a quick guide on the process of developing the software that powers the device?,1,0,0.05501694
Do you have a policy for working remotely?,1,0,0.05394262
"I am a senior manager in our organization, and I am concerned about cybersecurity. Can you tell me how to protect the critical information on our systems from hackers?",1,0,0.05383439
"What is the legal status of the ""A"" listed in the severance agreement?",1,0,0.04965086
What policies and procedures are intended to protect a person or entity from insider threats?,1,0,0.04816984
How do I find documents regarding our veterans' benefits?,1,0,0.047495887
What is the best way to ensure that employees' disciplinary matters do not spark an investigation?,1,0,0.046278667
How do I keep a job and ensure that I do not get fired?,1,0,0.043467816
What is the difference between a government contract and an outsider business project?,1,0,0.042980965
What is the definition of a cyber hacker?,1,0,0.042217057
"I am looking to add some new product to the market, and do I need to submit any legal documents or contracts?",1,0,0.04194043
What is the legal process for creating new products and services?,1,0,0.03971442
Can you tell me the name of a good company to trade with?,1,0,0.039297536
How can I locate all the Federal employees in my company's headquarters?,1,0,0.03885578
How do I ensure there isn't a security breach at my office?,1,0,0.0377737
Is the employee screening process for new employees required to complete a background check?,1,0,0.03774968
What would a security analyst need to know about my network?,1,0,0.037554175
What are the most efficient ways to communicate inside of an organization?,1,0,0.037012734
How do I learn about the best way to deal with a personal situation that causes me a great deal of stress?,1,0,0.03630843
I am trying to figure out how to find a good coffee shop.,1,0,0.035990104
hrl t if,1,0,0.032384057
What is the best way to keep my company's records secure from prying eyes?,1,0,0.03131083
"""I am in need of an additional safety training course that I am not currently taking to improve my ability to work.""",1,0,0.03118561
Can you share a sample of all the current policies regarding alcohol consumption within your company.,1,0,0.030404638
How can I inform the Internal Affairs about the upcoming 'Ryanair Accident?'?,1,0,0.030116588
How do I test a company's cyber security?,1,0,0.029542338
Can you provide me with guidance on a certain data breach that is currently being investigated?,1,0,0.029300494
I need to change the terms of a contract that my company is legally bound to sign. What are the terms of this contract?,1,0,0.028432595
How can I learn the legal aspects of our relationship with a federal judge?,1,0,0.027711218
I need to find information about a local newspaper. What are some commonly used sources?,1,0,0.027248537
What are the key policies and procedures that we need to follow as an employer to ensure we can find the right candidates for senior leadership positions in our company?,1,0,0.02671837
What are the best practices for preventing rogue employees from stealing corporate files?,1,0,0.024855874
How can I do a wire tap?,1,0,0.02461387
What is an example of a good password?,1,0,0.023637353
What is the current status of employee travel and hospitality within an organization?,1,0,0.022729872
How does the financial system protect data against unauthorized access?,1,0,0.021726273
?xml:namespace prefix = ott&amp;catid=23456789&amp;reverse=True&amp;id=3e4ad0b7&amp;ott.home=?xml:namespace prefix = ott&amp;catid=33456789&amp;ott.home=?xml:namespace prefix = ott&amp;catid=33456789&amp;ott.home=?xml:namespace prefix = ott&amp;catid=33456789&amp;ott.home=?xml:namespace prefix = ott&amp;catid=33456789&amp;ott.home=?xml:namespace prefix = ott&amp;catid=33456789&amp;ott.home=?xml:namespace prefix = ott&amp;catid=33456789&amp;ott.home=?xml:namespace prefix = ott&amp;catid=33456789&amp;ott.home=?xm,1,0,0.021654196
Can you tell me the specific requirements for opening a subpoena and what it is for?,1,0,0.021495787
What is the protocol for delivering a better world Ã¢ÂÂ our?,1,0,0.021307722
What should I do if someone breaks an executive order?,1,0,0.020864848
How can I test a new security system for my organization?,1,0,0.020441094
How can I get more access to security systems at my workplace?,1,0,0.02028415
"""What is the minimum length of time that someone has to sign a lease agreement?""",1,0,0.020283239
What is the top priority for corporate internal communications?,1,0,0.020273037
What is the most important law that will affect my legal career?,1,0,0.019293368
I am an employee and am preparing a checklist for the next company retreat. Can you walk me through it?,1,0,0.018780446
What is the minimum requirement for my company to have a legal entity to occupy a building?,1,0,0.01851668
Can you tell me what the best customer is for my company?,1,0,0.018105809
What might be the best way to get a new employee with less expensive benefits ?,1,0,0.018098319
What is the first step to reclassifying an employee as a contractor?,1,0,0.017481592
What are the top ten companies that have done business with an EU based company?,1,0,0.016745133
"What is the best way to protect the integrity of financial records in a financial institution, especially in connection with money laundering.",1,0,0.01629559
How do I make sure our internal company policies and procedures are up to date?,1,0,0.016116735
I want to know the names of attorneys who would be available for pro bono legal representation.,1,0,0.016038882
How could I ensure that the company won't lose any work-life balance in the near future?,1,0,0.015965195
What is the process for obtaining a temporary resident permit?,1,0,0.015938746
What are the core values that drive our company?,1,0,0.015713159
What are the top 10 things I would need to learn about before launching a cyberattack against a company?,1,0,0.01551507
